id,product,icon,hangye1,yewu,province,lunci,jieduan,money,time,detail,investor_info,heat_num
0,镁伽机器人,https://img1.qimingpian.cn/uploadImg/202101/5fffa0e77809e.png,人工智能,医疗自动化解决方案提供商,北京市,C轮,C轮,3亿美元,2022.06.15,http://vip.qimingpian.cn/#/detailcom?src=magic&ticket=0d0f3357c2fe5cc59687511b380b2fd6&id=2103e7cc41f3a2df3cb87efdb1c188ea,"[{'investor': '高盛资产管理', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=81b70fb386635673aec3e9ebc9f432f6&id=d5abda32ef0c212613dc0cc3aac92ff7', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': 'Asia Investment Capital', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=172348b821d657b7b20171c09fd3148a&id=bf0efae9dbb586ee14fbf1c998c6acb1', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': 'GGV纪源资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=c03f947873ba5122990396350304c9b3&id=0759a0ffeccffaae33e89357b0b94515', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '创新工场', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=9c83ac95db7558aa9b251d8a7252dadd&id=a1db9f78e168f5ea6f0ac9b6b6facd2f', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': 'Pavilion Capital', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=1dc12b9e85b95d96a13faece5ab3834d&id=fb6435f3275b341c305f18b05b229552', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '史带资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=87fd38d96adf54e0a515520ccc3f604a&id=1538791ec5fe5fc8530d6cd4738f76ff', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '雨盟资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=f0a1d24648d357f7a93a56d9fddf8838&id=38258d4d35fe7285c2ee75abe33b307f', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '鸿为资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=6c5212ea40ec54e09d5f235dfacc6b77&id=8aa7bc12c261f37b606694ed4915c5a1', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '园丰资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=0840223fc0485334bd45815c89f93f0c&id=4730e64e850538b620f5c048627c0214', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '泰合资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=745edb16443c5e209d7a70ddb1300b55&id=10961c209b64950df2949062e19266e9', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '国内生物科技领域的龙头企业', 'detail': '', 'invest_type_name': '', 'invest_type': '0'}]",3516
1,万勋科技,https://img1.qimingpian.cn/uploadImg/202103/604f06da09acd.png,先进制造,服务机器人研发提供商,广东省,Pre-A+轮,Pre-A+轮,近千万美元,2022.06.15,http://vip.qimingpian.cn/#/detailcom?src=magic&ticket=2e5a2fc5f5fe5f0090b1dc00f3ff3364&id=be87ae64b6bbb94b8702971a7f13d35b,"[{'investor': '蓝驰创投', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=a904ee50e8f458f990e8820997401d39&id=0202768edf18e4b8fa2cd95529522e19', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '顺为资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=de6f803f08f0504181436577e9faca03&id=321f4243c8892334bded1dd28af1eb83', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '万物资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=31cea91b57625ff08665fe8e5a4dab9c&id=5774f4c14758fbb77be8b3f0de78aef0', 'invest_type_name': '跟投', 'invest_type': '2'}]",1932
2,甄零科技,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202104/product6087d2940c15c086139302.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1657902382&Signature=u0PY7Fxg%2FaaCBB7UpK73pKNqpYE%3D,企业服务,合同价值全生命周期管理系统研发商,上海市,A轮,A轮,5300万人民币,2022.06.15,http://vip.qimingpian.cn/#/detailcom?src=magic&ticket=c520c0fd5c8c52b289fba91d6d9a44b8&id=fe26e6983d1f21cd74759b38352d0d99,"[{'investor': '云启资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=e1842f67a4705bb28b7aa57a5bd4b3af&id=13cb906cf2b988a2148484d39c406e9b', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '蓝湖资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=26f918afa6e3505aa3dc22b2fa4361dc&id=d0c8050a017170ac24e8c47eb5bfdc8f', 'invest_type_name': '跟投', 'invest_type': '2'}]",1482
3,拉面说,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202001/product5e0fcc2cf1390930178559.jpg?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1657902382&Signature=%2FJBG0ho4OyCp6thOWXI0FH1xuqU%3D,餐饮业,日式拉面半成品品牌,上海市,股权融资,股权融资,未披露,2021.01.07,http://vip.qimingpian.cn/#/detailcom?src=magic&ticket=53ff52dfdc09567db852fdb1e7eb4c6c&id=75373a6f64c5417f0d5a678720e80990,"[{'investor': '麦星投资', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=d26a3d588c6b535fa2d877429e4a3c66&id=c858ed37c6b6e90ff4773953eb56bea2', 'invest_type_name': '独投', 'invest_type': '4'}]",996
4,埃林哲,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/201809/product5bae646b839f3249567667.jpg?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1657902382&Signature=6SURS3eaTvb%2BzbbYNlTvqHOqoQM%3D,企业服务,企业数字化技术研发商,上海市,A轮,A轮,近亿人民币,2022.06.15,http://vip.qimingpian.cn/#/detailcom?src=magic&ticket=0c3127f22a91551d8ae01c64be8872a1&id=68f29581bf256f3ec2c33840fb76e505,"[{'investor': '青蓝资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=3a80080954325f43b3ae027ca2767b12&id=4dbc4357d462a6f51d72a922111b6276', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '涌铧投资', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=1a2fea93857b544daf29f58c3bb25c8f&id=df7c70ed7399e5b735fd079af6abc4a5', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '东明不锈钢', 'detail': 'http://vip.qimingpian.cn/#/detailcom?src=magic&ticket=706a908b22b25c64a0341bc40f2cc184&id=8e0b178d5cba5faecafbc8538f91d1dc', 'invest_type_name': '', 'invest_type': '0'}, {'investor': '产业客户', 'detail': '', 'invest_type_name': '跟投', 'invest_type': '2'}]",888
5,速腾聚创,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202007/product5efeb20466d49025479621.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1657902382&Signature=maIyEfq2yI%2BgF5hwRv03WMurtbU%3D,生产制造,智能激光雷达系统开发商,广东省,战略融资,战略融资,未披露,2022.06.14,http://vip.qimingpian.cn/#/detailcom?src=magic&ticket=8f9c4c98e0bd503ca54013861dee67eb&id=0ac206b37e89107238ee5460dcb87a2c,"[{'investor': '华兴新经济基金', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=c65760dc95755c80bb69802ecd9c52ca&id=d6516bbf420fe25c8768319620013f1a', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '云锋基金', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=7818fc3a85735018b965418ea179c488&id=18bf99829a513fd35cbf2601641eab97', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '景林投资', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=6a9b5732717d5ad681d3c7a9df4b6f56&id=ba2ae2075a8cad5e585d246f9105b63d', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '昆仲资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=747537e7b3635e33a9f72ff0754061fb&id=af8a12e5c9e2a5a6bdcb51785e240fdc', 'invest_type_name': '跟投', 'invest_type': '2'}]",762
6,炎黄国芯,https://img1.qimingpian.cn/uploadImg/202206/62a92c9cf08c5.png,硬件,电源管理芯片研发商,北京市,A轮,A轮,未披露,2022.06.15,http://vip.qimingpian.cn/#/detailcom?src=magic&ticket=5927b0c4f99e584aa39d6a5632d503c3&id=84cbfa90a4dcfa9c53bae95f6662a239,"[{'investor': '善达投资', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=e7ca4ed2f93556c495f49f8dd1930023&id=05ee128b2375fd149e382c0aa5da8325', 'invest_type_name': '独投', 'invest_type': '4'}]",660
7,硅山技术,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/201810/product5bd1868bb422b960129671.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1657902382&Signature=mstcV3zgCQr09WDKAp7fnY1vsvo%3D,先进制造,新能源汽车电控部件及动力系统研发商,广东省,A+轮,A+轮,数千万人民币,2022.06.14,http://vip.qimingpian.cn/#/detailcom?src=magic&ticket=d7b4663d60ca57a4882b961056486418&id=2e38f82f5a5fa849e1ca64d44c8bc87d,"[{'investor': '三一创投', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=7db000196592540f80df7ad3938d8e79&id=501f5f4f13053d434f1d5cd89f611d65', 'invest_type_name': '领投', 'invest_type': '1'}]",636
8,东方空间,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202106/product60c05d9de0570188349304.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1657902382&Signature=R0lKNFU65pW7XhBbXr93Ad8VV2o%3D,先进制造,航天航空装备研发商,山东省,A轮,A轮,4亿人民币,2022.05.20,http://vip.qimingpian.cn/#/detailcom?src=magic&ticket=b58cd0d5821456e0a3a2ed77e39c15f8&id=8958e99200cab89c19483ce74e52c683,"[{'investor': '山行资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=42f44cc3af065b149bcc9c3fd1a67d90&id=42c61312c40bc68059cd51035a4c1df1', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '民银国际', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=ba2128f1062b57878f7029d98ca84558&id=9e00c12acac360e738671a083a258a21', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '米哈游', 'detail': 'http://vip.qimingpian.cn/#/detailcom?src=magic&ticket=51de3fa1f48b534a89b740e13451dcc0&id=d2a082bf7f52231a0dca9adb03b1e594', 'invest_type_name': '', 'invest_type': '0'}, {'investor': '星瀚资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=509884c64e7c54c6a22c78bd2cf32b1a&id=4ce05e24c639c4e3b40ffe3cc0c89108', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '元璟资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=2db4490b5e725531bd83d82bfc9c852e&id=9d2da50a81a5866009b9575f7a901736', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '知春资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=171ec8e943fe58e39e2d664020bd2e77&id=b5390ab0bf34bd54eedccd6c27949cba', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '元禾原点', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=300baca1e9df5b329679746094d8b384&id=5ff0e6ec40d2bf83a3c46d597af1c217', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '凡卓资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=813d71e7574756518b0a20495d4b3fd7&id=246a820342b485e0a031af58af10ecd2', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '鼎和高达', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=690c0ab0b45958d694aa6bef00559e2d&id=4c31483451d3c9dcccb84c2bf56f7a8f', 'invest_type_name': '', 'invest_type': '0'}, {'investor': '成都天府三江资产', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=9286ccf55edb5fc3b199e59ad2fc251a&id=957ec1fe02702a0196c29343c7c56bdd', 'invest_type_name': '', 'invest_type': '0'}]",624
9,海柔创新,https://img1.qimingpian.cn/uploadImg/202109/614a83cfbd74c.png,物流运输,物流仓储机器人研发商,广东省,D+轮,D+轮,过亿美元,2022.06.13,http://vip.qimingpian.cn/#/detailcom?src=magic&ticket=3a3036c2b85a5a1a99eca7282f605109&id=85af8e93ac4a365f153c5992d9aeae74,"[{'investor': '今日资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=76550dd25a4a58418ef85f8efc0846e7&id=cfef1d7effbc1de4e257d0924abd2a98', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '某顶级美元基金', 'detail': '', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '五源资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=9a943ed431aa592aa9ad3fb2c9bcf255&id=bc51500d1c4d9ae39451347c6449e12e', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '源码资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=00a804098f0c5d118bcdb13a5700db5c&id=9e8584f3ac1bd6496efc36ed84048d79', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '红杉中国', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=4b1c54ebfbdd53d6a0af12a37b98d5d4&id=a8d12f114305bd75e39f9e3abec13c6b', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '零一创投', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=dfa7b9638f9d5466849d5f169dac1581&id=157cb7ce499fcd8253c63795ef509f09', 'invest_type_name': '跟投', 'invest_type': '2'}]",558
